Elapsed time,192.168.46.11 Disks I/O unit=kb:writebytes:fs=/,192.168.46.12 Disks I/O unit=kb:writebytes:fs=/,192.168.46.13 Disks I/O unit=kb:writebytes:fs=/
10:08:57.0,0.0,,0.0
10:08:58.0,0.0,0.0,0.0
10:08:59.0,0.0,0.0,0.0
10:09:00.0,0.0,156.0,0.0
10:09:01.0,136.0,0.0,0.0
10:09:02.0,0.0,0.0,0.0
10:09:03.0,16.0,0.0,16.0
10:09:04.0,0.0,0.0,0.0
10:09:05.0,0.0,0.0,0.0
10:09:06.0,20528.0,0.0,16876.0
10:09:07.0,0.0,0.0,128.0
10:09:08.0,12680.0,16.0,0.0
10:09:09.0,0.0,33164.0,16420.0
10:09:10.0,0.0,0.0,0.0
10:09:11.0,0.0,16.0,0.0
10:09:12.0,0.0,0.0,0.0
10:09:13.0,16.0,0.0,0.0
10:09:14.0,33400.0,0.0,33020.0
10:09:15.0,0.0,32752.0,0.0
10:09:16.0,0.0,0.0,0.0
10:09:17.0,0.0,0.0,16.0
10:09:18.0,0.0,0.0,0.0
10:09:19.0,16.0,0.0,0.0
10:09:20.0,32648.0,16.0,32848.0
10:09:21.0,0.0,32980.0,0.0
10:09:22.0,0.0,0.0,0.0
10:09:23.0,24.0,0.0,0.0
10:09:24.0,0.0,0.0,0.0
10:09:25.0,0.0,16.0,16.0
10:09:26.0,32780.0,20.0,33632.0
10:09:27.0,0.0,32876.0,16.0
10:09:28.0,0.0,0.0,0.0
10:09:29.0,0.0,0.0,0.0
10:09:30.0,0.0,0.0,0.0
10:09:31.0,16.0,16.0,0.0
10:09:32.0,32928.0,0.0,32160.0
10:09:33.0,16.0,32728.0,0.0
10:09:34.0,0.0,0.0,0.0
10:09:35.0,0.0,236.0,0.0
10:09:36.0,12.0,0.0,8.0
10:09:37.0,0.0,0.0,20.0
10:09:38.0,32848.0,32.0,32752.0
10:09:39.0,0.0,32904.0,0.0
10:09:40.0,0.0,92.0,108.0
10:09:41.0,152.0,56.0,220.0
10:09:42.0,0.0,0.0,14672.0
10:09:43.0,44.0,14656.0,104.0
10:09:44.0,49172.0,120.0,25204.0
10:09:45.0,0.0,37656.0,11156.0
10:09:46.0,0.0,0.0,100.0
10:09:47.0,768.0,124.0,24.0
10:09:48.0,2668.0,0.0,0.0
10:09:49.0,20172.0,0.0,20196.0
10:09:50.0,0.0,20232.0,0.0
10:09:51.0,8.0,24.0,0.0
10:09:52.0,0.0,0.0,0.0
10:09:53.0,24.0,0.0,0.0
10:09:54.0,23304.0,0.0,22480.0
10:09:55.0,0.0,23252.0,2044.0
10:09:56.0,0.0,0.0,0.0
10:09:57.0,0.0,0.0,0.0
10:09:58.0,0.0,0.0,0.0
10:09:59.0,0.0,0.0,0.0
10:10:00.0,0.0,0.0,0.0
10:10:01.0,0.0,0.0,0.0
10:10:02.0,0.0,0.0,0.0
10:10:03.0,0.0,0.0,0.0
10:10:04.0,0.0,0.0,0.0
10:10:05.0,0.0,0.0,0.0
10:10:06.0,8.0,0.0,8.0
10:10:07.0,0.0,0.0,12.0
10:10:08.0,0.0,0.0,0.0
10:10:09.0,7716.0,0.0,7996.0
10:10:10.0,0.0,8276.0,0.0
10:10:11.0,116.0,32.0,120.0
10:10:12.0,0.0,100.0,0.0
10:10:13.0,28.0,0.0,0.0
10:10:14.0,0.0,0.0,0.0
10:10:15.0,53484.0,36.0,33608.0
10:10:16.0,388.0,33268.0,156.0
10:10:17.0,0.0,0.0,0.0
10:10:18.0,4240.0,0.0,68.0
10:10:19.0,120.0,0.0,0.0
10:10:20.0,30840.0,20476.0,0.0
10:10:21.0,2064.0,140.0,32324.0
10:10:22.0,0.0,36992.0,0.0
10:10:23.0,27276.0,0.0,23580.0
10:10:24.0,0.0,27260.0,28788.0
10:10:25.0,0.0,8.0,0.0
10:10:26.0,0.0,0.0,0.0
10:10:27.0,0.0,0.0,0.0
10:10:28.0,0.0,0.0,12.0
10:10:29.0,0.0,16.0,0.0
10:10:30.0,10528.0,0.0,0.0
10:10:31.0,0.0,0.0,10296.0
10:10:32.0,0.0,10288.0,0.0
10:10:33.0,0.0,0.0,0.0
10:10:34.0,0.0,0.0,0.0
10:10:35.0,0.0,0.0,0.0
10:10:36.0,8.0,0.0,8.0
10:10:37.0,0.0,0.0,0.0
10:10:38.0,0.0,0.0,12.0
10:10:39.0,0.0,0.0,0.0
10:10:40.0,0.0,0.0,0.0
10:10:41.0,36.0,0.0,0.0
10:10:42.0,0.0,0.0,0.0
10:10:43.0,4.0,0.0,0.0
10:10:44.0,0.0,0.0,0.0
10:10:45.0,0.0,148.0,0.0
10:10:46.0,32.0,0.0,0.0
10:10:47.0,0.0,0.0,16.0
10:10:48.0,0.0,0.0,12.0
10:10:49.0,0.0,40.0,0.0
10:10:50.0,32.0,32.0,0.0
10:10:51.0,184.0,28.0,368.0
10:10:52.0,0.0,4.0,0.0
10:10:53.0,40.0,0.0,0.0
10:10:54.0,0.0,0.0,0.0
10:10:55.0,0.0,68.0,0.0
10:10:56.0,40.0,0.0,148.0
10:10:57.0,0.0,36.0,0.0
10:10:58.0,0.0,0.0,32.0
10:10:59.0,0.0,0.0,0.0
10:11:00.0,32.0,0.0,0.0
10:11:01.0,0.0,12.0,0.0
10:11:02.0,0.0,0.0,0.0
10:11:03.0,12.0,0.0,12.0
10:11:04.0,0.0,0.0,0.0
10:11:05.0,0.0,0.0,0.0
10:11:06.0,52.0,0.0,72.0
10:11:07.0,0.0,0.0,0.0
10:11:08.0,0.0,12.0,36.0
10:11:09.0,0.0,0.0,0.0
10:11:10.0,32.0,0.0,0.0
10:11:11.0,0.0,12.0,24.0
10:11:12.0,0.0,0.0,0.0
10:11:13.0,12.0,0.0,0.0
10:11:14.0,0.0,0.0,36.0
10:11:15.0,0.0,0.0,0.0
10:11:16.0,0.0,0.0,0.0
10:11:17.0,0.0,0.0,0.0
10:11:18.0,0.0,12.0,12.0
10:11:19.0,0.0,0.0,0.0
10:11:20.0,20.0,84.0,0.0
10:11:21.0,0.0,32.0,0.0
10:11:22.0,0.0,4.0,0.0
10:11:23.0,16.0,0.0,0.0
10:11:24.0,0.0,0.0,16.0
10:11:25.0,0.0,8.0,0.0
10:11:26.0,0.0,0.0,0.0
10:11:27.0,0.0,20.0,0.0
10:11:28.0,0.0,0.0,12.0
10:11:29.0,0.0,0.0,0.0
10:11:30.0,16.0,0.0,0.0
10:11:31.0,0.0,12.0,4.0
10:11:32.0,0.0,4.0,0.0
10:11:33.0,12.0,0.0,0.0
10:11:34.0,0.0,0.0,12.0
10:11:35.0,0.0,0.0,0.0
10:11:36.0,8.0,0.0,0.0
10:11:37.0,0.0,4.0,0.0
10:11:38.0,0.0,0.0,0.0
10:11:39.0,0.0,0.0,0.0
10:11:40.0,0.0,0.0,0.0
10:11:41.0,64.0,0.0,8.0
10:11:42.0,0.0,0.0,0.0
10:11:43.0,4.0,0.0,0.0
10:11:44.0,0.0,0.0,0.0
10:11:45.0,0.0,0.0,0.0
10:11:46.0,0.0,0.0,60.0
10:11:47.0,0.0,0.0,0.0
10:11:48.0,0.0,0.0,12.0
10:11:49.0,0.0,0.0,0.0
10:11:50.0,0.0,0.0,0.0
10:11:51.0,0.0,0.0,0.0
10:11:52.0,0.0,0.0,0.0
10:11:53.0,0.0,0.0,0.0
10:11:54.0,0.0,0.0,0.0
10:11:55.0,0.0,32.0,0.0
10:11:56.0,0.0,0.0,1432.0
10:11:57.0,2148.0,0.0,0.0
10:11:58.0,0.0,0.0,28.0
10:11:59.0,44.0,0.0,0.0
10:12:00.0,3796.0,4584.0,0.0
10:12:01.0,0.0,44.0,4500.0
10:12:02.0,0.0,1424.0,0.0
10:12:03.0,28.0,0.0,0.0
10:12:04.0,0.0,0.0,0.0
10:12:05.0,0.0,0.0,0.0
10:12:06.0,108.0,0.0,32.0
10:12:07.0,0.0,136.0,0.0
10:12:08.0,0.0,0.0,128.0
10:12:09.0,0.0,0.0,0.0
10:12:10.0,10064.0,0.0,0.0
10:12:11.0,0.0,20.0,10060.0
10:12:12.0,0.0,10028.0,0.0
10:12:13.0,27004.0,0.0,0.0
10:12:14.0,208.0,0.0,0.0
10:12:15.0,5896.0,0.0,0.0
10:12:16.0,96.0,0.0,88.0
10:12:17.0,6092.0,7284.0,6088.0
10:12:18.0,0.0,26004.0,20.0
10:12:19.0,0.0,0.0,0.0
10:12:20.0,0.0,0.0,0.0
10:12:21.0,0.0,20.0,56.0
10:12:22.0,16.0,0.0,0.0
10:12:23.0,16.0,5968.0,156.0
10:12:24.0,0.0,0.0,26952.0
10:12:25.0,112.0,0.0,120.0
10:12:26.0,0.0,0.0,0.0
10:12:27.0,9740.0,120.0,9676.0
10:12:28.0,23176.0,9692.0,32.0
10:12:29.0,0.0,0.0,0.0
10:12:30.0,0.0,144.0,0.0
10:12:31.0,0.0,23208.0,0.0
10:12:32.0,164.0,0.0,0.0
10:12:33.0,5168.0,0.0,24.0
10:12:34.0,0.0,4844.0,0.0
10:12:35.0,0.0,232.0,0.0
10:12:36.0,0.0,0.0,4.0
10:12:37.0,9936.0,0.0,10000.0
10:12:38.0,0.0,9972.0,36.0
10:12:39.0,0.0,0.0,0.0
10:12:40.0,0.0,8.0,6052.0
10:12:41.0,0.0,36.0,8.0
10:12:42.0,28.0,0.0,28188.0
10:12:43.0,0.0,0.0,0.0
10:12:44.0,0.0,0.0,0.0
10:12:45.0,0.0,0.0,0.0
10:12:46.0,0.0,0.0,0.0
10:12:47.0,3080.0,12.0,3012.0
10:12:48.0,0.0,3008.0,0.0
10:12:49.0,0.0,0.0,0.0
10:12:50.0,0.0,40.0,0.0
10:12:51.0,0.0,24.0,120.0
10:12:52.0,0.0,0.0,0.0
10:12:53.0,20.0,0.0,0.0
10:12:54.0,0.0,0.0,0.0
10:12:55.0,0.0,24.0,20.0
10:12:56.0,0.0,0.0,80.0
10:12:57.0,8.0,0.0,0.0
10:12:58.0,0.0,0.0,36.0
10:12:59.0,0.0,0.0,0.0
10:13:00.0,0.0,72.0,0.0
10:13:01.0,0.0,12.0,0.0
10:13:02.0,36.0,0.0,0.0
10:13:03.0,28.0,0.0,0.0
10:13:04.0,0.0,0.0,0.0
10:13:05.0,0.0,168.0,0.0
10:13:06.0,0.0,0.0,0.0
10:13:07.0,6084.0,0.0,6020.0
10:13:08.0,0.0,6020.0,28.0
10:13:09.0,0.0,0.0,0.0
10:13:10.0,4444.0,0.0,4308.0
10:13:11.0,0.0,4448.0,40.0
10:13:12.0,0.0,0.0,0.0
10:13:13.0,16.0,0.0,0.0
10:13:14.0,0.0,0.0,0.0
10:13:15.0,0.0,0.0,48.0
10:13:16.0,0.0,16.0,9096.0
10:13:17.0,0.0,0.0,0.0
10:13:18.0,16.0,0.0,44.0
10:13:19.0,0.0,0.0,0.0
10:13:20.0,14448.0,8.0,5336.0
10:13:21.0,0.0,14520.0,136.0
10:13:22.0,12.0,0.0,0.0
10:13:23.0,36.0,120.0,0.0
10:13:24.0,0.0,0.0,0.0
10:13:25.0,0.0,0.0,0.0
10:13:26.0,0.0,0.0,96.0
10:13:27.0,19488.0,0.0,0.0
10:13:28.0,104.0,36.0,20.0
10:13:29.0,0.0,0.0,0.0
10:13:30.0,14420.0,8.0,14220.0
10:13:31.0,8568.0,14392.0,0.0
10:13:32.0,0.0,0.0,0.0
10:13:33.0,4220.0,0.0,4332.0
10:13:34.0,0.0,4036.0,0.0
10:13:35.0,0.0,68.0,0.0
10:13:36.0,0.0,0.0,72.0
10:13:37.0,120.0,19572.0,0.0
10:13:38.0,16.0,0.0,36.0
10:13:39.0,0.0,124.0,0.0
10:13:40.0,0.0,184.0,0.0
10:13:41.0,0.0,20.0,8.0
10:13:42.0,72.0,0.0,19560.0
10:13:43.0,13776.0,0.0,13884.0
10:13:44.0,0.0,13724.0,0.0
10:13:45.0,0.0,0.0,0.0
10:13:46.0,0.0,8564.0,0.0
10:13:47.0,0.0,0.0,0.0
10:13:48.0,0.0,0.0,28.0
10:13:49.0,16.0,0.0,8536.0
10:13:50.0,0.0,0.0,0.0
10:13:51.0,0.0,56.0,8.0
10:13:52.0,0.0,0.0,0.0
10:13:53.0,7432.0,0.0,7448.0
10:13:54.0,0.0,7448.0,0.0
10:13:55.0,0.0,4.0,0.0
10:13:56.0,0.0,0.0,116.0
10:13:57.0,8.0,0.0,0.0
10:13:58.0,0.0,0.0,0.0
10:13:59.0,0.0,0.0,0.0
10:14:00.0,0.0,12.0,0.0
10:14:01.0,0.0,12.0,0.0
10:14:02.0,88.0,0.0,0.0
10:14:03.0,24.0,0.0,0.0
10:14:04.0,0.0,0.0,0.0
10:14:05.0,0.0,44.0,0.0
10:14:06.0,0.0,0.0,0.0
10:14:07.0,0.0,0.0,0.0
10:14:08.0,0.0,0.0,0.0
10:14:09.0,0.0,0.0,0.0
10:14:10.0,0.0,92.0,0.0
10:14:11.0,0.0,44.0,36.0
10:14:12.0,64.0,0.0,0.0
10:14:13.0,24.0,0.0,0.0
10:14:14.0,0.0,0.0,0.0
10:14:15.0,0.0,96.0,0.0
10:14:16.0,0.0,0.0,84.0
10:14:17.0,0.0,44.0,0.0
10:14:18.0,0.0,0.0,20.0
